,site,njumps,org3,orgpos,coun3,counpos
1,www.ufmg.br,18.1428571429,Latin American and Caribbean IP address Regional Registry,12.6428571429,UY,12.6428571429
2,www.ufmg.br,18.1428571429,Asia Pacific Network Information Centre,17.1428571429,US,4.54761904762
3,www.ufmg.br,18.1428571429,Verizon Online LLC,2.61538461538,AU,17.1428571429
4,www.stackoverflow.com,9.42857142857,Verizon Online LLC,2.71428571429,US,4.68181818182
5,www.stackoverflow.com,9.42857142857,RIPE Network Coordination Centre,8.33333333333,*,4.58333333333
6,www.stackoverflow.com,9.42857142857,"CloudFlare, Inc.",9.28571428571,NL,8.33333333333
7,www.facebook.com,10.1428571429,Verizon Online LLC,2.8,US,5.07142857143
8,www.facebook.com,10.1428571429,RIPE Network Coordination Centre,9.0,NL,8.88888888889
9,www.facebook.com,10.1428571429,"ANS Communications, Inc",8.0,*,3.5
